Dotazník,Věk,Pohlaví,Kraj,Region,Velikost místa bydliště,Vzdělání,Praktikujete orální sex?,Druh sexu a oční kontakt
351,61,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,anální styk – oční kontakt není důležitý
352,48,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
353,64,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
354,36,Žena,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
355,64,Muž,Zlínský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
356,23,Žena,Moravskoslezský,Morava,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
357,61,Muž,Vysočina,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
358,32,Muž,Středočeský,Čechy,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
359,20,Muž,Jihomoravský,Morava,1 001 až 5 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
360,38,Žena,Pardubický,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
361,47,Žena,Středočeský,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
362,19,Muž,Olomoucký,Morava,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
363,55,Žena,Středočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
364,40,Žena,Plzeňský,Čechy,Do 1000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
365,33,Muž,Královehradecký,Čechy,5 001 až 20 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
366,49,Muž,Jihočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
367,22,Žena,Vysočina,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
368,30,Muž,Královehradecký,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
369,60,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
370,44,Muž,Jihomoravský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
371,61,Muž,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
372,56,Muž,Plzeňský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
373,18,Žena,Karlovarský,Čechy,20 001 až 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
374,26,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
375,62,Žena,Středočeský,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
376,46,Muž,Pardubický,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
377,30,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
378,59,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt není důležitý
379,60,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
380,27,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
381,44,Muž,Královehradecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
382,51,Muž,Vysočina,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
383,23,Muž,Středočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
384,64,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
385,40,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,jinou
386,29,Muž,Středočeský,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
387,35,Žena,Liberecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
388,28,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
389,63,Muž,Pardubický,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
390,51,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
391,20,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
392,64,Žena,Jihočeský,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
393,21,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
394,23,Žena,Středočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
395,23,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
396,57,Muž,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
397,46,Žena,Karlovarský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
398,37,Žena,Moravskoslezský,Morava,Do 1000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
399,65,Muž,Jihomoravský,Morava,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
400,55,Žena,Liberecký,Čechy,Více než 100 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
401,30,Žena,Zlínský,Morava,1 001 až 5 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
402,33,Muž,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
403,57,Muž,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
404,26,Muž,Liberecký,Čechy,5 001 až 20 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,jinou
405,56,Žena,Olomoucký,Morava,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
406,40,Žena,Pardubický,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
407,39,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
408,65,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,ZŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
409,45,Žena,Jihomoravský,Morava,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
410,27,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
411,37,Muž,Ústecký,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
412,25,Muž,Ústecký,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
413,60,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt je důležitý
414,59,Žena,Jihočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
415,32,Žena,Zlínský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
416,60,Muž,Královehradecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
417,42,Žena,Královehradecký,Čechy,Do 1000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
418,58,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
419,54,Muž,Karlovarský,Čechy,1 001 až 5 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt je důležitý
420,33,Muž,Pardubický,Čechy,Do 1000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
421,42,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
422,41,Žena,Královehradecký,Čechy,Do 1000 obyvatel,VŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
423,63,Muž,Královehradecký,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
424,28,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
425,63,Muž,Liberecký,Čechy,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
426,29,Žena,Pardubický,Čechy,5 001 až 20 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
427,45,Muž,Jihomoravský,Morava,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
428,51,Muž,Olomoucký,Morava,Do 1000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
429,56,Žena,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,jinou
430,36,Žena,Jihočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
431,46,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
432,44,Muž,Jihomoravský,Morava,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
433,33,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
434,51,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
435,43,Žena,Liberecký,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
436,61,Muž,Karlovarský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
437,31,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
438,41,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
439,22,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
440,22,Muž,Zlínský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
441,18,Muž,Královehradecký,Čechy,Do 1000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
442,59,Žena,Olomoucký,Morava,Do 1000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
443,28,Žena,Středočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
444,49,Muž,Olomoucký,Morava,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
445,59,Muž,Zlínský,Morava,5 001 až 20 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
446,64,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,ZŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
447,24,Žena,Vysočina,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
448,60,Žena,Plzeňský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
449,32,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
450,18,Žena,Jihomoravský,Morava,Do 1000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,jinou
451,42,Muž,Pardubický,Čechy,1 001 až 5 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
452,46,Muž,Středočeský,Čechy,Do 1000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt není důležitý
453,19,Muž,Praha,Praha,Více než 100 000 obyvatel,ZŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
454,36,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
455,54,Muž,Středočeský,Čechy,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
456,22,Žena,Pardubický,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
457,52,Muž,Pardubický,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
458,33,Žena,Jihočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
459,30,Žena,Vysočina,Čechy,5 001 až 20 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
460,47,Muž,Jihomoravský,Morava,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
461,42,Žena,Olomoucký,Morava,Do 1000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
462,40,Žena,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
463,26,Muž,Královehradecký,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
464,26,Muž,Jihomoravský,Morava,1 001 až 5 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
465,37,Muž,Královehradecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt je důležitý
466,40,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,anální styk – oční kontakt je důležitý
467,32,Muž,Pardubický,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
468,37,Žena,Karlovarský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
469,42,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
470,54,Muž,Olomoucký,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
471,63,Muž,Středočeský,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
472,35,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
473,46,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
474,31,Muž,Liberecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,jinou
475,43,Žena,Zlínský,Morava,1 001 až 5 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
476,18,Žena,Praha,Praha,Více než 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
477,25,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
478,37,Muž,Praha,Praha,Více než 100 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
479,49,Žena,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
480,44,Žena,Středočeský,Čechy,Do 1000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
481,40,Muž,Vysočina,Čechy,Do 1000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
482,65,Muž,Pardubický,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
483,59,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
484,65,Muž,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
485,28,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
486,55,Muž,Olomoucký,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,jinou
487,46,Muž,Jihočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
488,19,Žena,Královehradecký,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,jinou
489,33,Žena,Jihomoravský,Morava,Do 1000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
490,50,Muž,Liberecký,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
491,23,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
492,58,Žena,Pardubický,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
493,56,Muž,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
494,50,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
495,25,Muž,Jihočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
496,26,Žena,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
497,40,Žena,Jihočeský,Čechy,Do 1000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
498,43,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
499,21,Žena,Jihočeský,Čechy,20 001 až 100 000 obyvatel,SŠ,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
500,56,Žena,Moravskoslezský,Morava,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
501,26,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
502,37,Muž,Středočeský,Čechy,Do 1000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
503,62,Žena,Jihočeský,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
504,25,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
505,46,Žena,Jihomoravský,Morava,Do 1000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,jinou
506,65,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt není důležitý
507,38,Muž,Zlínský,Morava,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
508,47,Muž,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
509,34,Muž,Plzeňský,Čechy,Do 1000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
510,62,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
511,36,Žena,Olomoucký,Morava,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
512,50,Žena,Plzeňský,Čechy,1 001 až 5 000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
513,29,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
514,63,Muž,Jihočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
515,25,Muž,Středočeský,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,jinou
516,26,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
517,53,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
518,21,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
519,28,Žena,Plzeňský,Čechy,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
520,26,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
521,56,Žena,Ústecký,Čechy,5 001 až 20 000 obyvatel,ZŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
522,65,Žena,Liberecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
523,35,Žena,Olomoucký,Morava,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,anální styk – oční kontakt je důležitý
524,36,Žena,Vysočina,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
525,42,Muž,Karlovarský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
526,29,Muž,Jihomoravský,Morava,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
