Form ID,Age,Sex,Admin region,Historical region,Resident population,Education,Do you engage in oral sex?,Kind of sex and eye contact
445,59,Male,Zlin,Moravia,5 001 to 20 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
446,64,Female,South Moravian,Moravia,1 001 to 5 000,Elementary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
447,24,Female,Vysocina,Bohemia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
448,60,Female,Plzen,Bohemia,5 001 to 20 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
449,32,Male,Central Bohemian,Bohemia,5 001 to 20 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
450,18,Female,South Moravian,Moravia,Up to 1 000,Elementary,No – and I had no vaginal/anal sex,Other
451,42,Male,Pardubice,Bohemia,1 001 to 5 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
452,46,Male,Central Bohemian,Bohemia,Up to 1 000,Elementary,No – and I had no vaginal/anal sex,Oral sex – eye contact is not important
453,19,Male,Prague,Prague,100 001 and above,Elementary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
454,36,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
455,54,Male,Central Bohemian,Bohemia,20 001 to 100 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
456,22,Female,Pardubice,Bohemia,Up to 1 000,Secondary,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
457,52,Male,Pardubice,Bohemia,1 001 to 5 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
458,33,Female,South Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
459,30,Female,Vysocina,Bohemia,5 001 to 20 000,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
460,47,Male,South Moravian,Moravia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
461,42,Female,Olomouc,Moravia,Up to 1 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
462,40,Female,Moravian-Silesian,Moravia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
463,26,Male,Hradec Kralove,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
464,26,Male,South Moravian,Moravia,1 001 to 5 000,University,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
465,37,Male,Hradec Kralove,Bohemia,20 001 to 100 000,Apprenticeship,No – and I had no vaginal/anal sex,Oral sex – eye contact is important
466,40,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Anal sex – eye contact is important
467,32,Male,Pardubice,Bohemia,Up to 1 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
468,37,Female,Karlovy Vary,Bohemia,1 001 to 5 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
469,42,Male,South Moravian,Moravia,100 001 and above,Elementary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
470,54,Male,Olomouc,Moravia,20 001 to 100 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
471,63,Male,Central Bohemian,Bohemia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is not important
472,35,Male,Central Bohemian,Bohemia,5 001 to 20 000,University,Yes – because we both equally wanted to,Oral sex – eye contact is important
473,46,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
474,31,Male,Liberec,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Other
475,43,Female,Zlin,Moravia,1 001 to 5 000,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
476,18,Female,Prague,Prague,100 001 and above,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
477,25,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
478,37,Male,Prague,Prague,100 001 and above,Elementary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
479,49,Female,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
480,44,Female,Central Bohemian,Bohemia,Up to 1 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
481,40,Male,Vysocina,Bohemia,Up to 1 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
482,65,Male,Pardubice,Bohemia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
483,59,Female,South Moravian,Moravia,100 001 and above,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
484,65,Male,Moravian-Silesian,Moravia,5 001 to 20 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
485,28,Male,Plzen,Bohemia,100 001 and above,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
486,55,Male,Olomouc,Moravia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Other
487,46,Male,South Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
488,19,Female,Hradec Kralove,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Other
489,33,Female,South Moravian,Moravia,Up to 1 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
490,50,Male,Liberec,Bohemia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
491,23,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
492,58,Female,Pardubice,Bohemia,5 001 to 20 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
493,56,Male,Moravian-Silesian,Moravia,5 001 to 20 000,Elementary,Yes – mostly because I initiated it,Oral sex – eye contact is not important
494,50,Female,Central Bohemian,Bohemia,1 001 to 5 000,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
495,25,Male,South Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
496,26,Female,Moravian-Silesian,Moravia,5 001 to 20 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
497,40,Female,South Bohemian,Bohemia,Up to 1 000,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
498,43,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
499,21,Female,South Bohemian,Bohemia,20 001 to 100 000,Secondary,I don’t know/remember,Vaginal sex – eye contact is important
500,56,Female,Moravian-Silesian,Moravia,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
501,26,Female,Prague,Prague,100 001 and above,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
502,37,Male,Central Bohemian,Bohemia,Up to 1 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
503,62,Female,South Bohemian,Bohemia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
504,25,Male,Central Bohemian,Bohemia,5 001 to 20 000,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
505,46,Female,South Moravian,Moravia,Up to 1 000,Secondary,No – and I had no vaginal/anal sex,Other
506,65,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,No – and I had no vaginal/anal sex,Oral sex – eye contact is not important
507,38,Male,Zlin,Moravia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
508,47,Male,Moravian-Silesian,Moravia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
509,34,Male,Plzen,Bohemia,Up to 1 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
510,62,Female,Central Bohemian,Bohemia,5 001 to 20 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
511,36,Female,Olomouc,Moravia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
512,50,Female,Plzen,Bohemia,1 001 to 5 000,University,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
513,29,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
514,63,Male,South Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
515,25,Male,Central Bohemian,Bohemia,20 001 to 100 000,Secondary,Yes – mostly because I initiated it,Other
516,26,Female,South Moravian,Moravia,100 001 and above,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
517,53,Male,Prague,Prague,100 001 and above,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
518,21,Female,South Moravian,Moravia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
519,28,Female,Plzen,Bohemia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
520,26,Male,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
521,56,Female,Usti nad Labem,Bohemia,5 001 to 20 000,Elementary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
522,65,Female,Liberec,Bohemia,20 001 to 100 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
523,35,Female,Olomouc,Moravia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Anal sex – eye contact is important
524,36,Female,Vysocina,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
525,42,Male,Karlovy Vary,Bohemia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
526,29,Male,South Moravian,Moravia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
527,37,Female,Central Bohemian,Bohemia,Up to 1 000,Elementary,Yes – mostly because I initiated it,Oral sex – eye contact is important
528,58,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
529,59,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
530,38,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Anal sex – eye contact is important
531,32,Male,Moravian-Silesian,Moravia,20 001 to 100 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
532,37,Female,Usti nad Labem,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
533,55,Male,Vysocina,Bohemia,Up to 1 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
534,33,Male,Olomouc,Moravia,20 001 to 100 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
535,39,Female,South Moravian,Moravia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
536,44,Male,Prague,Prague,100 001 and above,Elementary,No – and I had no vaginal/anal sex,Oral sex – eye contact is important
537,43,Male,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
538,26,Female,Usti nad Labem,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
539,47,Male,Karlovy Vary,Bohemia,Up to 1 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
540,47,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
541,60,Female,Usti nad Labem,Bohemia,5 001 to 20 000,University,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
542,56,Female,Central Bohemian,Bohemia,Up to 1 000,Elementary,Yes – mostly because I initiated it,Other
543,44,Female,Central Bohemian,Bohemia,5 001 to 20 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
544,45,Male,Karlovy Vary,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
545,21,Female,Zlin,Moravia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
546,40,Male,Central Bohemian,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is important
547,64,Female,Hradec Kralove,Bohemia,5 001 to 20 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
548,51,Female,Central Bohemian,Bohemia,5 001 to 20 000,Elementary,Yes – because we both equally wanted to,Oral sex – eye contact is important
549,35,Female,Vysocina,Bohemia,5 001 to 20 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
550,32,Male,Vysocina,Bohemia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
551,43,Male,Pardubice,Bohemia,5 001 to 20 000,Secondary,I don’t know/remember,Vaginal sex – eye contact is not important
552,30,Male,Olomouc,Moravia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
553,19,Male,Olomouc,Moravia,100 001 and above,Elementary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
554,57,Male,Central Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
555,19,Male,Zlin,Moravia,5 001 to 20 000,Elementary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
556,65,Female,Zlin,Moravia,20 001 to 100 000,University,Yes – because we both equally wanted to,Oral sex – eye contact is important
557,34,Female,South Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
558,28,Female,Plzen,Bohemia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
559,27,Female,Liberec,Bohemia,5 001 to 20 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is not important
560,41,Female,Usti nad Labem,Bohemia,20 001 to 100 000,Secondary,Yes – mostly because my partner initiated it,Other
561,62,Female,Pardubice,Bohemia,Up to 1 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
562,63,Male,South Bohemian,Bohemia,1 001 to 5 000,Secondary,I don’t know/remember,Vaginal sex – eye contact is not important
563,44,Female,Karlovy Vary,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
564,61,Male,South Moravian,Moravia,Up to 1 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
565,35,Male,Vysocina,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
566,31,Male,Liberec,Bohemia,100 001 and above,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is not important
567,26,Male,Prague,Prague,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
568,38,Female,South Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
569,64,Female,Moravian-Silesian,Moravia,100 001 and above,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
570,39,Female,Plzen,Bohemia,5 001 to 20 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
571,20,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
572,36,Female,Usti nad Labem,Bohemia,5 001 to 20 000,Elementary,Yes – mostly because I initiated it,Oral sex – eye contact is not important
573,31,Male,Moravian-Silesian,Moravia,20 001 to 100 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
574,30,Female,Usti nad Labem,Bohemia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
575,43,Male,Zlin,Moravia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
576,51,Female,Olomouc,Moravia,20 001 to 100 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
577,47,Male,Moravian-Silesian,Moravia,100 001 and above,Elementary,Yes – mostly because my partner initiated it,Oral sex – eye contact is important
578,22,Male,South Moravian,Moravia,100 001 and above,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
579,24,Female,Pardubice,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
580,27,Female,Central Bohemian,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
581,31,Female,Vysocina,Bohemia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
582,24,Male,Olomouc,Moravia,5 001 to 20 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
583,41,Female,Vysocina,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
584,43,Male,Zlin,Moravia,20 001 to 100 000,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is important
585,55,Female,South Moravian,Moravia,1 001 to 5 000,Apprenticeship,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
586,31,Female,Hradec Kralove,Bohemia,5 001 to 20 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
587,26,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
588,43,Male,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
589,44,Male,South Moravian,Moravia,5 001 to 20 000,University,Yes – mostly because I initiated it,Oral sex – eye contact is not important
590,54,Female,Moravian-Silesian,Moravia,100 001 and above,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
591,61,Male,Pardubice,Bohemia,20 001 to 100 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
592,33,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
593,52,Female,Prague,Prague,100 001 and above,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
594,64,Female,Pardubice,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
595,64,Female,Zlin,Moravia,20 001 to 100 000,Apprenticeship,No – and I had no vaginal/anal sex,Other
596,24,Male,Central Bohemian,Bohemia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
597,30,Male,Pardubice,Bohemia,1 001 to 5 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
598,45,Male,South Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
599,31,Female,Olomouc,Moravia,20 001 to 100 000,University,Yes – because we both equally wanted to,Oral sex – eye contact is not important
600,42,Female,Zlin,Moravia,20 001 to 100 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
601,63,Female,Plzen,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
602,42,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is important
603,41,Male,Central Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
604,47,Female,Vysocina,Bohemia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
605,49,Female,Usti nad Labem,Bohemia,5 001 to 20 000,Apprenticeship,No – and I had no vaginal/anal sex,Oral sex – eye contact is not important
606,35,Female,Hradec Kralove,Bohemia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is important
607,65,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
608,57,Female,Prague,Prague,100 001 and above,University,I don’t know/remember,Other
609,32,Male,Prague,Prague,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Other
610,32,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Anal sex – eye contact is not important
611,46,Male,South Moravian,Moravia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is important
612,57,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Secondary,I don’t know/remember,Vaginal sex – eye contact is important
613,43,Male,Olomouc,Moravia,100 001 and above,Secondary,No – and I had no vaginal/anal sex,Other
614,33,Male,Liberec,Bohemia,Up to 1 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
615,29,Male,South Moravian,Moravia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
616,25,Female,Pardubice,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
617,33,Female,Hradec Kralove,Bohemia,Up to 1 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
618,51,Male,Olomouc,Moravia,100 001 and above,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
619,46,Male,Pardubice,Bohemia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Anal sex – eye contact is not important
620,59,Female,Hradec Kralove,Bohemia,5 001 to 20 000,Elementary,Yes – mostly because I initiated it,Oral sex – eye contact is important
621,48,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
622,30,Female,Moravian-Silesian,Moravia,20 001 to 100 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
623,50,Male,Central Bohemian,Bohemia,20 001 to 100 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
624,43,Female,Zlin,Moravia,1 001 to 5 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
625,61,Male,South Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
626,22,Male,Moravian-Silesian,Moravia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
627,25,Male,Prague,Prague,100 001 and above,Apprenticeship,Yes – mostly because my partner initiated it,Oral sex – eye contact is important
628,59,Male,Olomouc,Moravia,1 001 to 5 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
629,63,Female,Hradec Kralove,Bohemia,Up to 1 000,Apprenticeship,No – and I had no vaginal/anal sex,Oral sex – eye contact is not important
630,55,Male,South Bohemian,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
631,64,Female,Pardubice,Bohemia,20 001 to 100 000,University,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
632,48,Male,Zlin,Moravia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
633,55,Male,Zlin,Moravia,20 001 to 100 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
634,45,Female,Central Bohemian,Bohemia,5 001 to 20 000,Elementary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
635,55,Male,Vysocina,Bohemia,Up to 1 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is not important
636,55,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
637,31,Female,South Moravian,Moravia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
638,61,Female,Karlovy Vary,Bohemia,5 001 to 20 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
639,52,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
640,48,Male,South Moravian,Moravia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
641,35,Female,South Moravian,Moravia,100 001 and above,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
642,19,Male,Hradec Kralove,Bohemia,5 001 to 20 000,Elementary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
643,51,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
644,40,Male,Pardubice,Bohemia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
645,56,Female,Prague,Prague,100 001 and above,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
646,50,Male,South Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
647,62,Female,South Bohemian,Bohemia,1 001 to 5 000,Elementary,I don’t know/remember,Anal sex – eye contact is not important
648,42,Male,Central Bohemian,Bohemia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
649,65,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
650,34,Male,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
651,65,Male,Olomouc,Moravia,Up to 1 000,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
652,43,Female,Central Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
653,31,Male,Prague,Prague,100 001 and above,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
654,61,Female,South Moravian,Moravia,1 001 to 5 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
655,25,Male,South Moravian,Moravia,Up to 1 000,Apprenticeship,I don’t know/remember,Oral sex – eye contact is important
656,22,Male,Plzen,Bohemia,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
657,55,Male,Vysocina,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
658,43,Male,Hradec Kralove,Bohemia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
659,40,Male,Central Bohemian,Bohemia,20 001 to 100 000,University,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
660,49,Male,South Moravian,Moravia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
661,40,Male,Prague,Prague,100 001 and above,University,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
662,58,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
663,26,Male,Central Bohemian,Bohemia,1 001 to 5 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
664,60,Female,Central Bohemian,Bohemia,1 001 to 5 000,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
665,50,Female,Olomouc,Moravia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
666,59,Male,Moravian-Silesian,Moravia,Up to 1 000,Secondary,No – and I had no vaginal/anal sex,Other
667,61,Male,Zlin,Moravia,1 001 to 5 000,Elementary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
